"","combineId","playerId","combineYear","combinePosition","combineHeight","combineWeight","nameFirst","nameLast","nameFull","position","collegeId","nflId","college","heightInches","weight","dob","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone"
"890",15234,20030073,2003,"OT",77.6,303,"Wayne","Hunter","Wayne Hunter","OT",96813,"2505512","Hawaii",77,318,"1981-07-02",21.8301369863014,5.16,31,37,4.54,104,7.72
"891",15235,20030059,2003,"DE",76,266,"Alonzo","Jackson","Alonzo Jackson","LB",32306,"2505589","Florida State",76,268,"1980-09-15",22.6246575342466,4.9,37,14,4.45,114,7.69
"893",15237,20030602,2003,"OT",78.9,311,"Jason","Jimenez","Jason Jimenez","OL",39406,"M000066","Southern Miss",79,305,"1980-05-01",23,5.31,30,18,4.64,96,8.47
"898",15242,20030109,2003,"DT",74.6,284,"Jarret","Johnson","Jarret Johnson","DE",35487,"2505641","Alabama",75,260,"1981-08-14",21.7123287671233,5.09,28.5,21,4.52,107,7.72
"901",15245,20030440,2003,"TE",77.6,278,"Robert","Johnson","Robert Johnson","TE",36849,"2505419","Auburn",78,278,"1980-06-20",22.8630136986301,4.96,33.5,18,4.42,115,7.13
"903",15247,20030100,2003,"FS",72.9,206,"Todd","Johnson","Todd Johnson","S",32611,"2505468","Florida",73,200,"1978-12-18",24.3698630136986,4.58,33.5,19,4.17,117,6.99
"910",15254,20030062,2003,"SS",71.1,204,"Terrence","Kiel","Terrence Kiel","S",77843,"2505591","Texas A&M",71,207,"1980-11-24",22.4328767123288,4.49,38,16,3.92,127,6.87
"911",15255,20030133,2003,"C",75.9,299,"Austin","King","Austin King","C",60208,"2505526","Northwestern",75,288,"1981-04-11",22.0547945205479,5.57,28,20,4.72,106,7.99
"912",15256,20030141,2003,"DE",74.8,281,"Kenny","King","Kenny King","DT",35487,"2505443","Alabama",76,284,"1981-04-23",22.0219178082192,4.95,35,25,4.28,114,7.5
"914",15258,20030117,2003,"DT",71.5,283,"Dan","Klecko","Dan Klecko","DT",19122,"2505471","Temple",71,275,"1981-01-12",22.2986301369863,4.91,33.5,26,4.4,111,7.51
"915",15259,20030215,2003,"OT",77.9,316,"Scott","Kooistra","Scott Kooistra","OT",27607,"2505434","NC State",78,335,"1980-10-14",22.5452054794521,5.18,31,28,4.57,103,7.93
"916",15260,20030164,2003,"C",74.6,297,"Dan","Koppen","Dan Koppen","C",2459,"2505531","Boston",74,300,"1979-09-12",23.6356164383562,5.31,28.5,27,4.46,101,8.24
"918",15262,20030532,2003,"OT",78,333,"Damian","Lavergne","Damian Lavergne","OT",71272,"2505278","Louisiana Tech",78,328,"1980-04-22",23.0246575342466,5.57,27,17,4.82,92,8.43
"919",15263,20030244,2003,"SS",72.4,200,"Norman","LeJeune","Norman LeJeune","DB",70803,"2505435","Louisiana State",72,210,"1980-05-10",22.9753424657534,4.65,33.5,11,4.21,115,7.41
"920",15264,20030156,2003,"TE",75.3,249,"Donald","Lee","Donald Lee","TE",39762,"2505451","Mississippi State",76,248,"1980-08-31",22.6657534246575,4.79,39,26,4.37,120,7.4
"921",15265,20030147,2003,"DT",76.5,327,"James","Lee","James Lee","DT",97331,"2505436","Oregon State",77,325,"1980-03-12",23.1369863013699,4.96,30,23,4.69,106,7.77
"923",15267,20030152,2003,"CB",71.8,196,"Michael","Lehan","Michael Lehan","DB",55455,"2505667","Minnesota",72,200,"1979-11-25",23.4328767123288,4.52,34.5,13,4.1,119,6.94
"924",15268,20030429,2003,"DT",74.6,305,"Matt","Leonard","Matt Leonard","DT",94305,"2505255","Stanford",75,301,"1979-11-07",23.4821917808219,4.99,26,30,4.52,95,7.51
"927",15271,20030494,2003,"FB",71.8,246,"Tom","Lopienski","Tom Lopienski","RB",46556,"2505390","Notre Dame",72,246,"1979-06-12",23.8876712328767,4.75,34,24,4.24,111,7.53
"928",15272,20030660,2003,"OT",76.8,300,"Pete","Lougheed","Pete Lougheed","OT",47906,"2505345","Purdue",77,310,"1979-11-05",23.4876712328767,5.18,28.5,20,4.5,93,7.85
"929",15273,20030612,2003,"OLB",73.6,235,"Jeremy","Loyd","Jeremy Loyd","LB",50011,"2505327","Iowa State",74,235,"1980-07-30",22.7534246575342,4.66,34,17,4.12,114,6.89
"930",15274,20030578,2003,"RB",71,211,"Nick","Maddox","Nick Maddox","RB",32306,"2505308","Florida State",71,209,"1980-12-11",22.386301369863,4.65,33.5,18,4.5,115,7.33
"932",15276,20030168,2003,"OG",75,301,"Sean","Mahan","Sean Mahan","OG",46556,"2505533","Notre Dame",75,301,"1980-05-28",22.9260273972603,5.16,30,30,4.75,105,7.75
"936",15280,20030082,2003,"CB",68.6,185,"Ricky","Manning","Ricky Manning","DB",90095,"2505432","UCLA",69,193,"1980-11-18",22.4493150684931,4.55,36.5,12,4.12,117,7.09
"937",15281,20030072,2003,"OG",74,304,"Vincent","Manuwai","Vincent Manuwai","OG",96813,"2505592","Hawaii",74,333,"1980-07-12",22.8027397260274,5.19,29.5,27,4.37,107,7.57
"940",15284,20030039,2003,"FS",72.8,202,"Rashean","Mathis","Rashean Mathis","DB",32114,"2505583","Bethune-Cookman (FL)",73,195,"1980-08-27",22.6767123287671,4.47,38.5,22,4.15,123,7.08
"944",15288,20030111,2003,"CB",69.6,201,"Terrence","McGee","Terrence McGee","DB",71497,"2505520","Northwestern State (LA)",69,205,"1980-10-14",22.5452054794521,4.55,37,15,4.07,126,6.87
"946",15290,20030188,2003,"FS",74.4,201,"Hanik","Milligan","Hanik Milligan","S",77006,"2505537","Houston",75,200,"1979-11-03",23.4931506849315,4.5,36.5,9,4.18,130,7.09
"947",15291,20030227,2003,"DE",78.9,257,"Clint","Mitchell","Clint Mitchell","DE",32611,"2505543","Florida",79,270,"1980-09-21",22.6082191780822,4.93,34.5,16,4.31,115,7.34
"948",15292,20030047,2003,"ILB",73,253,"Kawika","Mitchell","Kawika Mitchell","LB",33620,"2505485","South Florida",73,253,"1979-10-10",23.558904109589,4.69,37,25,4.24,117,7.32
"949",15293,20030247,2003,"FB",73.9,240,"Casey","Moore","Casey Moore","RB",94305,"2505653","Stanford",73,240,"1980-07-26",22.7643835616438,4.67,32.5,22,4.26,114,7.29
"950",15294,20030174,2003,"DT",73,303,"Langston","Moore","Langston Moore","DT",29208,"2505438","South Carolina",73,305,"1981-07-17",21.7890410958904,5.05,32,29,4.21,104,7.63
"951",15295,20030145,2003,"DE",74.5,285,"Kindal","Moorehead","Kindal Moorehead","DT",35487,"2505648","Alabama",74,299,"1978-10-14",24.5479452054795,5,32,22,4.51,104,7.71
"955",15299,20030234,2003,"TE",76.5,259,"Spencer","Nead","Spencer Nead","TE",84602,"2505546","BYU",76,259,"1977-11-03",25.4931506849315,4.89,28.5,19,4.24,102,7.37
"957",15301,20030005,2003,"CB",70.4,189,"Terence","Newman","Terence Newman","DB",66506,"2505552","Kansas State",70,197,"1978-09-04",24.6575342465753,4.41,41,10,3.82,136,6.88
"958",15302,20030154,2003,"FS",74.3,220,"Donnie","Nickey","Donnie Nickey","S",43210,"2505603","Ohio State",75,226,"1980-04-25",23.0164383561644,4.64,33.5,17,4.15,119,7.08
"959",15303,20030130,2003,"OT",77.3,303,"Lance","Nimmo","Lance Nimmo","OT",26506,"2505525","West Virginia",77,303,"1979-09-13",23.6328767123288,5.33,27,20,4.93,90,8.19
"961",15305,20030718,2003,"OT",78.5,308,"Will","Ofenheusle","Will Ofenheusle","OT",37998,"M000561","Tennessee",80,305,"1980-05-18",22.9534246575342,5.35,26.5,23,4.92,94,8.65
"964",15308,20030140,2003,"FS",73,208,"Derek","Pagel","Derek Pagel","S",52242,"2505470","Iowa",73,208,"1979-10-24",23.5205479452055,4.53,35.5,25,4.03,115,6.85
"967",15311,20030067,2003,"OLB",74.6,246,"Antwan","Peek","Antwan Peek","LB",45221,"2505559","Cincinnati",75,250,"1979-10-29",23.5068493150685,4.67,37,21,4.33,125,7.06
"971",15315,20030252,2003,"FS",74,206,"Willie","Pile","Willie Pile","S",24061,"2505418","Virginia Tech",74,210,"1980-05-25",22.9342465753425,4.58,38,14,4.04,125,6.75
"975",15319,20030209,2003,"OT",77.1,301,"Tim","Provost","Tim Provost","OT",95192,"2523573","San Jose State",77,301,"1980-08-24",22.6849315068493,5.3,28.5,21,4.67,102,8.37
"978",15322,20030737,2003,"TE",75.4,255,"Gabe","Reid","Gabe Reid","TE",84602,"2505403","BYU",75,253,"1977-05-28",25.9287671232877,4.81,37,23,4.31,119,7.48
"979",15323,20030638,2003,"CB",69.1,203,"Terrell","Roberts","Terrell Roberts","DB",97331,"2505334","Oregon State",70,197,"1981-04-07",22.0657534246575,4.74,34,18,4.19,117,7.12
"980",15324,20030415,2003,"ILB",72.4,240,"Terrence","Robinson","Terrence Robinson","LB",74078,"2505249","Oklahoma State",72,237,"1980-03-12",23.1369863013699,4.97,33.5,19,4.33,116,7.6
"981",15325,20030432,2003,"C",74,295,"Brett","Romberg","Brett Romberg","C",33124,"2505258","Miami (FL)",74,293,"1979-10-10",23.558904109589,5.2,27.5,27,4.65,99,8.16
"983",15327,20030204,2003,"OT",78.4,327,"Dustin","Rykert","Dustin Rykert","OT",84602,"2524760","BYU",79,317,"1980-04-18",23.0356164383562,5.52,26.5,21,4.83,92,8.19
"984",15328,20030120,2003,"CB",70.9,185,"Asante","Samuel","Asante Samuel","DB",32816,"2505472","Central Florida",70,185,"1981-01-06",22.3150684931507,4.52,35.5,9,4.09,120,6.94
"985",15329,20030258,2003,"FS",73.6,202,"Antwoine","Sanders","Antwoine Sanders","S",84112,"2524851","Utah",74,202,"1977-09-22",25.6082191780822,4.56,37.5,14,4.37,128,7.43
"986",15330,20030579,2003,"OT",77,303,"Watts","Sanderson","Watts Sanderson","OT",29208,"M000518","South Carolina",78,300,"1980-02-27",23.1753424657534,5.39,28.5,24,4.92,100,8.47
"991",15335,20030122,2003,"OT",77.1,330,"Steve","Sciullo","Steve Sciullo","OG",25755,"2505599","Marshall",77,325,"1980-08-27",22.6767123287671,5.52,28,23,4.65,98,7.84
"993",15337,20030116,2003,"DT",75,312,"Ian","Scott","Ian Scott","DT",32611,"2505642","Florida",75,315,"1981-11-08",21.4767123287671,5.16,28.5,28,5,99,8.12
"995",15339,20030707,2003,"OG",75.1,309,"Chad","Setterstrom","Chad Setterstrom","OG",50701,"2505368","Northern Iowa",75,310,"1980-06-13",22.8821917808219,5.46,28.5,16,4.61,101,7.91
"996",15340,20030251,2003,"OLB",74.1,245,"Scott","Shanle","Scott Shanle","LB",68588,"2505549","Nebraska",74,245,"1979-11-23",23.4383561643836,4.71,31,20,4.32,111,7.27
"997",15341,20030091,2003,"TE",76.4,251,"Visanthe","Shiancoe","Visanthe Shiancoe","TE",21251,"2505561","Morgan State (MD)",76,250,"1980-06-18",22.8684931506849,4.64,39.5,28,4.28,120,7.09
"1000",15344,20030061,2003,"TE",75.3,258,"L.J.","Smith","L.J. Smith","TE",7102,"2505628","Rutgers",75,245,"1980-05-13",22.9671232876712,4.69,37,26,4.18,122,6.74
"1003",15347,20030223,2003,"TE",77.1,243,"Trent","Smith","Trent Smith","TE",73019,"2505612","Oklahoma",77,238,"1979-09-15",23.627397260274,4.81,35.5,16,4.3,118,7.21
"1004",15348,20030078,2003,"OT",75.9,296,"Wade","Smith","Wade Smith","OT",38152,"2505633","Memphis",76,295,"1981-04-26",22.013698630137,5.15,32.5,24,4.71,114,7.6
"1005",15349,20030151,2003,"OG",77.3,307,"Ben","Sobieski","Ben Sobieski","OG",52242,"2505456","Iowa",77,307,"1979-05-03",23.9972602739726,5.01,30,18,4.43,109,7.69
"1009",15353,20030037,2003,"OT",77,302,"Jon","Stinchcomb","Jon Stinchcomb","OT",30602,"2505581","Georgia",77,315,"1979-08-27",23.6794520547945,5.09,35,32,4.58,115,7.83
"1011",15355,20030090,2003,"CB",70,187,"Donald","Strickland","Donald Strickland","S",80309,"2505658","Colorado",70,185,"1980-11-24",22.4328767123288,4.48,35.5,16,4.01,121,6.97
"1013",15357,20030184,2003,"OG",76,303,"Scott","Tercero","Scott Tercero","OG",94720,"2505481","California",75,303,"1981-10-28",21.5068493150685,5.23,28.5,25,4.51,103,7.81
"1015",15359,20030768,2003,"TE",76.4,248,"Ray","Thomas","Ray Thomas","TE",27106,"M000585","Wake Forest",76,248,"1978-03-25",25.1041095890411,5.05,31,17,4.52,113,7.47
"1016",15360,20030052,2003,"OLB",73.9,240,"Chaun","Thompson","Chaun Thompson","LB",79016,"2505665","West Texas A&M",74,250,"1980-05-22",22.9424657534247,4.56,35.5,29,4.16,123,7
"1017",15361,20030035,2003,"CB",73,207,"Charles","Tillman","Charles Tillman","DB",70504,"2505625","Louisiana Lafayette",74,210,"1981-02-23",22.1835616438356,4.49,40,12,3.89,131,7.05
"1018",15362,20030043,2003,"OLB",72.4,231,"Pisa","Tinoisamoa","Pisa Tinoisamoa","LB",96813,"2505557","Hawaii",73,230,"1981-07-15",21.7945205479452,4.69,34.5,19,4.07,111,6.95
"1021",15365,20030011,2003,"CB",71.1,199,"Marcus","Trufant","Marcus Trufant","DB",99164,"2505553","Washington State",71,197,"1980-12-25",22.3479452054795,4.43,39,11,4.3,127,6.85
"1022",15366,20030178,2003,"CB",70.5,188,"B.J.","Tucker","B.J. Tucker","DB",53706,"2505607","Wisconsin",70,192,"1980-10-12",22.5506849315069,4.38,35,16,4.14,123,7.25
"1026",15370,20030161,2003,"TE",77.6,252,"Aaron","Walker","Aaron Walker","TE",32611,"2505567","Florida",78,260,"1980-03-14",23.1315068493151,4.75,33.5,24,4.27,115,7.55
"1029",15373,20030170,2003,"CB",70.6,184,"Shane","Walton","Shane Walton","S",46556,"2505534","Notre Dame",71,190,"1979-10-09",23.5616438356164,4.67,31,11,4.2,109,7.03
"1030",15374,20030075,2003,"OT",79,321,"Seth","Wand","Seth Wand","OT",64068,"2505493","N.W. Missouri State",79,330,"1979-08-06",23.7369863013699,5.15,31.5,20,4.5,107,7.57
"1031",15375,20030594,2003,"TE",74.9,256,"Kevin","Ware","Kevin Ware","TE",98195,"2505317","Washington",75,259,"1980-09-30",22.5835616438356,4.8,34,22,4.47,110,7.51
"1033",15377,20030544,2003,"DE",77.1,275,"Cliff","Washburn","Cliff Washburn","DE",29409,"2505284","Citadel",77,315,"1980-01-25",23.2657534246575,5.02,27,22,4.75,109,8.59
"1034",15378,20030739,2003,"RB",73,212,"Derek","Watson","Derek Watson","RB",29117,"2505405","South Carolina State",72,212,"1981-05-01",22,4.63,34,15,4.2,114,7.35
"1035",15380,20030098,2003,"CB",72.6,204,"Dennis","Weathersby","Dennis Weathersby","DB",97331,"2505638","Oregon State",73,204,"1980-06-16",22.8739726027397,4.39,38,9,4.08,125,7.13
"1036",15381,20030177,2003,"OT",75.3,300,"Reggie","Wells","Reggie Wells","OG",16214,"2505439","Clarion (PA)",76,318,"1980-11-03",22.4904109589041,5.2,29,23,4.53,104,8.34
"1037",15382,20030064,2003,"DE",74.1,273,"Dewayne","White","Dewayne White","DE",40292,"2505509","Louisville",74,273,"1979-10-19",23.5342465753425,4.78,33,22,4.22,112,7.22
"1038",15383,20030162,2003,"ILB",71.9,229,"Keyon","Whiteside","Keyon Whiteside","LB",37998,"2505568","Tennessee",72,229,"1980-01-31",23.2493150684931,4.74,29,27,4.33,111,7.3
"1039",15384,20030087,2003,"OG",75.9,321,"Taylor","Whitley","Taylor Whitley","OG",77843,"2505636","Texas A&M",76,316,"1980-02-21",23.1917808219178,5.2,30,28,4.55,106,7.95
"1040",15385,20030189,2003,"DE",74.9,271,"Jimmy","Wilkerson","Jimmy Wilkerson","DE",73019,"2505476","Oklahoma",74,270,"1981-01-04",22.3205479452055,4.86,34.5,29,4.38,114,7.44
"1041",15386,20030089,2003,"DE",74.3,263,"Andrew","Williams","Andrew Williams","DE",33124,"2505560","Miami (FL)",74,280,"1979-04-18",24.0383561643836,4.69,32,29,4.44,113,7.53
"1043",15388,20030009,2003,"DE",76.9,304,"Kevin","Williams","Kevin Williams","DE",74078,"2505576","Oklahoma State",77,311,"1980-08-16",22.7068493150685,4.84,30,23,5.01,112,7.66
"1044",15389,20030225,2003,"OT",76.8,340,"Todd","Williams","Todd Williams","OT",32306,"2505462","Florida State",77,325,"1978-09-04",24.6575342465753,5.14,32.5,27,4.54,108,8.06
"1045",15390,20030036,2003,"CB",70.4,192,"Eugene","Wilson","Eugene Wilson","S",61801,"2505504","Illinois",70,200,"1980-08-17",22.7041095890411,4.46,38,15,4,122,7.18
"1048",15393,20030028,2003,"CB",73.4,197,"Andre","Woolfolk","Andre Woolfolk","DB",73019,"2505579","Oklahoma",74,197,"1980-01-26",23.2630136986301,4.47,35.5,10,3.95,128,6.76
"1050",15395,20030487,2003,"SS",73.4,201,"Thomas","Wright","Thomas Wright","S",48824,"2505410","Michigan State",74,201,"1981-07-03",21.827397260274,4.79,36,13,4.38,114,7.41
"1057",15402,20040126,2004,"DE",78,265,"Jared","Allen","Jared Allen","DE",83209,"2505940","Idaho State",78,270,"1982-04-03",22.0739726027397,4.76,33,13,4.34,120,7.11
"1058",15403,20040583,2004,"CB",72,209,"Marcell","Allmond","Marcell Allmond","DB",90089,"M000219","USC",73,198,"1981-05-28",22.9232876712329,4.63,38,21,4.34,123,7.37
"1059",15404,20040245,2004,"TE",78,269,"Courtney","Anderson","Courtney Anderson","TE",95192,"2505908","San Jose State",78,270,"1980-11-19",23.4438356164384,4.89,30,17,4.54,106,7.86
"1060",15405,20040016,2004,"OT",76.1,366,"Shawn","Andrews","Shawn Andrews","OT",72701,"2505974","Arkansas",76,330,"1982-12-25",21.3452054794521,5.49,25,27,4.85,98,8.25
"1061",15406,20040123,2004,"OT",78.1,342,"Stacy","Andrews","Stacy Andrews","OT",38677,"2506059","Mississippi",78,318,"1981-06-02",22.9095890410959,5.07,30.5,34,4.78,106,8.09
"1062",15407,20040114,2004,"DT",77.4,308,"Matthias","Askew","Matthias Askew","DT",48824,"2506054","Michigan State",77,302,"1982-07-01",21.8301369863014,5.24,27,20,4.42,101,7.55
"1063",15408,20040027,2004,"DE",74.6,260,"Jason","Babin","Jason Babin","LB",49008,"2505900","Western Michigan",75,267,"1980-05-24",23.9342465753425,4.65,34,28,4.14,121,7.03
"1064",15409,20040660,2004,"FS",70.5,204,"Rashad","Baker","Rashad Baker","DB",37998,"2505824","Tennessee",70,200,"1982-02-22",22.1835616438356,4.55,36,21,4.12,117,7.19
"1069",15414,20040204,2004,"DT",75.4,303,"Ryon","Bingham","Ryon Bingham","DT",68588,"2505907","Nebraska",75,303,"1981-06-06",22.8986301369863,5.14,30,33,4.38,109,7.44
"1071",15416,20040240,2004,"OLB",73.6,230,"Colby","Bockwoldt","Colby Bockwoldt","LB",84602,"2506076","BYU",73,237,"1981-04-14",23.0438356164384,4.59,34,14,4.05,112,7.12
"1074",15419,20040455,2004,"DT",73,306,"Jon","Bradley","Jon Bradley","DL",72401,"2505725","Arkansas State",72,301,"1981-01-13",23.2931506849315,5.09,26.5,19,4.85,104,7.88
"1076",15421,20040486,2004,"CB",69.3,187,"Rufus","Brown","Rufus Brown","DB",32306,"2505740","Florida State",69,188,"1980-07-18",23.7835616438356,4.45,33,15,4.44,124,7.24
"1077",15422,20040160,2004,"SS",71.3,209,"Tony","Bua","Tony Bua","S",72701,"2506091","Arkansas",71,218,"1980-02-11",24.2164383561644,4.65,36,15,4.08,120,6.75
"1078",15423,20040159,2004,"OT",78.5,306,"Sean","Bubin","Sean Bubin","OT",61801,"2505903","Illinois",78,306,"1981-01-26",23.2575342465753,5.29,24.5,25,4.76,97,7.66
"1081",15426,20040647,2004,"DT",75.6,302,"Darrell","Campbell","Darrell Campbell","DL",46556,"2505818","Notre Dame",76,295,"1981-07-06",22.8164383561644,5.21,33,25,4.66,111,7.63
"1085",15430,20040514,2004,"DT",77.4,305,"Jordan","Carstens","Jordan Carstens","DT",50011,"2505752","Iowa State",77,300,"1981-01-22",23.2684931506849,5.05,28.5,28,4.8,106,8.35
"1087",15432,20040178,2004,"OT",79,294,"Marko","Cavka","Marko Cavka","OT",95819,"2506016","Sacramento State (CA)",79,294,"1981-04-04",23.0712328767123,5.17,27.5,27,4.4,107,7.57
"1089",15434,20040176,2004,"OT",79.3,313,"Kirk","Chambers","Kirk Chambers","OT",94305,"2505928","Stanford",79,315,"1979-03-19",25.1178082191781,5.51,27,22,4.4,101,7.56
"1093",15438,20040419,2004,"OG",78.9,315,"Tyson","Clabo","Tyson Clabo","OG",27106,"2505707","Wake Forest",78,315,"1981-10-17",22.5342465753425,5.45,30,24,4.88,100,8.09
"1099",15444,20040143,2004,"FS",70.5,200,"Erik","Coleman","Erik Coleman","S",99164,"2505691","Washington State",70,207,"1982-05-06",21.9835616438356,4.62,35.5,16,4.14,117,7.03
"1101",15446,20040081,2004,"TE",75.5,265,"Chris","Cooley","Chris Cooley","TE",84322,"2505938","Utah State",75,243,"1982-07-11",21.8027397260274,4.86,33,22,4.19,115,7.21
"1102",15447,20040079,2004,"OLB",75.3,223,"Marquis","Cooper","Marquis Cooper","LB",98195,"2506086","Washington",75,213,"1982-03-11",22.1369863013699,4.55,36.5,25,4.12,121,7.02
"1111",15456,20040131,2004,"OG",76,301,"Trey","Darilek","Trey Darilek","OT",79968,"2505987","Texas-El Paso",77,310,"1981-04-23",23.0191780821918,5.23,28.5,22,4.66,110,7.85
"1113",15458,20040625,2004,"RB",70.4,200,"Josh","Davis","Josh Davis","RB",68588,"2505811","Nebraska",70,200,"1980-10-11",23.5506849315069,4.53,33.5,13,4.07,112,7.27
"1115",15460,20040720,2004,"CB",74.4,214,"Curtis","Deloatch","Curtis Deloatch","DB",27411,"2505856","North Carolina A&T",74,214,"1981-10-04",22.5698630136986,4.52,35.5,10,4.42,120,6.97
"1119",15464,20040115,2004,"OT",79,322,"Nat","Dorsey","Nat Dorsey","OT",30332,"2506055","Georgia Tech",79,335,"1983-09-09",20.6383561643836,5.46,28.5,26,4.89,102,8.3
"1121",15466,20040170,2004,"CB",70.6,203,"Vontez","Duff","Vontez Duff","DB",46556,"2513258","Notre Dame",70,193,"1982-03-08",22.1452054794521,4.55,35,13,4.03,120,6.94
"1122",15467,20040220,2004,"TE",77,263,"Jeff","Dugan","Jeff Dugan","TE",20740,"2505946","Maryland",76,258,"1981-04-08",23.0602739726027,5,28,21,4.4,109,7.43
"1125",15470,20040051,2004,"DT",74.8,313,"Dwan","Edwards","Dwan Edwards","DT",97331,"2505949","Oregon State",75,305,"1981-05-16",22.9561643835616,5.14,28,25,4.68,105,7.59
"1126",15471,20040184,2004,"FS",71.5,202,"Deandre","Eiland","Deandre Eiland","S",29208,"2505943","South Carolina",72,207,"1982-06-04",21.9041095890411,4.54,35,17,4.27,113,7.19
"1127",15472,20040549,2004,"DE",76,251,"Kevin","Emanuel","Kevin Emanuel","DE",32306,"M000077","Florida State",76,259,"1979-12-06",24.4,4.84,31,21,4.49,108,7.86
"1128",15473,20040109,2004,"TE",77,260,"Tim","Euhus","Tim Euhus","TE",97331,"2505688","Oregon State",77,256,"1980-10-02",23.5753424657534,4.89,34.5,25,4.13,115,6.99
"1130",15475,20040703,2004,"RB",71.9,231,"Clarence","Farmer","Clarence Farmer","RB",85721,"M000170","Arizona",72,218,"1981-10-16",22.5369863013699,4.69,34.5,21,4.25,120,7.44
"1133",15478,20040627,2004,"TE",75.9,266,"J.P.","Foschi","J.P. Foschi","TE",30332,"2505813","Georgia Tech",75,265,"1982-05-19",21.9479452054795,5.01,30.5,24,4.35,111,7.49
"1134",15479,20040550,2004,"ILB",75.1,250,"Ryan","Fowler","Ryan Fowler","LB",27708,"2506116","Duke",75,250,"1982-05-20",21.9452054794521,4.76,37.5,35,4.19,118,7.19
"1137",15482,20040232,2004,"TE",74,275,"Michael","Gaines","Michael Gaines","TE",32816,"2505910","Central Florida",74,267,"1980-03-30",24.0849315068493,5.07,33,18,4.18,109,7.44
"1138",15483,20040002,2004,"OT",79.1,323,"Robert","Gallery","Robert Gallery","OT",52242,"2506026","Iowa",79,325,"1980-07-26",23.7616438356164,4.97,30,24,4.38,105,7.42
"1139",15484,20040092,2004,"CB",70.6,199,"Rich","Gardner","Rich Gardner","DB",16802,"2506002","Penn State",70,194,"1981-02-01",23.241095890411,4.49,36.5,11,3.91,123,6.91
"1141",15486,20040459,2004,"TE",74.5,248,"Ronnie","Ghent","Ronnie Ghent","TE",40292,"2505726","Louisville",74,253,"1980-01-05",24.3178082191781,5,27.5,11,4.5,103,7.47
"1142",15487,20040153,2004,"DE",74.3,245,"Roderick","Green","Roderick Green","LB",64093,"2506013","Central Missouri State",74,255,"1982-04-26",22.0109589041096,4.72,34.5,21,4.04,129,7.26
"1146",15491,20040174,2004,"C",74.1,323,"Rex","Hadnot","Rex Hadnot","OG",77006,"2506093","Houston",74,310,"1982-01-28",22.2520547945205,5.51,24.5,27,4.66,91,7.94
"1149",15494,20040066,2004,"C",75.5,295,"Nick","Hardwick","Nick Hardwick","C",47906,"2505997","Purdue",76,305,"1981-09-02",22.6575342465753,5.2,34,27,4.55,108,7.72
"1151",15496,20040147,2004,"DE",75.6,252,"Claude","Harriott","Claude Harriott","DE",15260,"2505955","Pittsburgh",75,271,"1981-04-08",23.0602739726027,4.71,30.5,25,4.25,118,7.44
"1154",15499,20040068,2004,"TE",76,263,"Ben","Hartsock","Ben Hartsock","TE",43210,"2506037","Ohio State",76,265,"1980-07-05",23.8191780821918,4.81,35,23,3.98,117,7.1
"1155",15500,20040544,2004,"OG",76.4,311,"Joseph","Hayes","Joseph Hayes","OG",95192,"M000617","San Jose State",76,298,"1981-06-15",22.8739726027397,5.65,23,18,5.12,94,8.25
"1158",15503,20040552,2004,"DT",73.5,307,"Cedric","Hilliard","Cedric Hilliard","DT",46556,"2505779","Notre Dame",74,307,"1980-11-19",23.4438356164384,5.17,29,26,4.75,110,8.22
"1159",15504,20040253,2004,"DE",75.4,267,"Isaac","Hilton","Isaac Hilton","DE",23669,"2516557","Hampton (VA)",75,267,"1981-02-26",23.172602739726,4.6,36.5,31,4.48,123,7.99
"1161",15506,20040173,2004,"CB",69.6,185,"Von","Hutchins","Von Hutchins","DB",38677,"2505942","Mississippi",70,180,"1981-02-14",23.2054794520548,4.5,34.5,11,4.06,115,7.05
"1162",15507,20040480,2004,"C",76.1,300,"Scott","Jackson","Scott Jackson","C",84602,"2505737","BYU",76,302,"1979-01-19",25.2794520547945,4.94,30.5,28,4.52,105,7.84
"1165",15510,20040096,2004,"OLB",74,223,"Landon","Johnson","Landon Johnson","LB",47906,"2506049","Purdue",74,232,"1981-03-13",23.1315068493151,4.65,37.5,20,4.08,120,7.01
"1166",15511,20040734,2004,"DT",74.9,286,"Spencer","Johnson","Spencer Johnson","DT",36849,"2505864","Auburn",75,304,"1981-12-12",22.3808219178082,5.12,30,19,4.53,111,7.78
"1167",15512,20040047,2004,"DT",74.8,304,"Tank","Johnson","Tank Johnson","DT",98195,"2505901","Washington",75,315,"1981-12-07",22.3945205479452,4.74,34,31,4.6,114,7.56
"1169",15514,20040234,2004,"DE",76.6,260,"Trevor","Johnson","Trevor Johnson","DE",68588,"2505696","Nebraska",77,260,"1981-02-26",23.172602739726,4.81,35.5,23,4.08,110,7.06
"1170",15515,20040132,2004,"OT",76.3,296,"Adrian","Jones","Adrian Jones","OT",66045,"2506006","Kansas",76,330,"1981-06-10",22.8876712328767,4.95,31,27,4.58,114,7.81
"1173",15518,20040547,2004,"OLB",72.8,249,"Maurice","Jones","Maurice Jones","LB",33620,"M000007","South Florida",73,240,"1981-03-15",23.1260273972603,4.72,35.5,26,4.21,118,7.16
